cobacia,cotrecho,trechosjus,curso_dagua,vazao_incremental,vazao_naturalizada,cabeceira
"7585585",200750,158784,"758558",1,0,False
"7585584",249556,158784,"7585584",1,0,True
"7585583",158784,123784,"758558",1,0,False
"7585582",262964,123784,"7585582",1,0,True
"7585581",123784,277217,"758558",1,0,False
"7585573",277217,277225,"758",1,0,False
"7581668",296335,366432,"7581668",1,0,True
"7585572",239518,277225,"7585572",1,0,True
"7585571",277225,277246,"758",1,0,False
"7585569",230076,188679,"758556",1,0,True
"75855683",119365,99254,"7585568",1,0,True
"75855682",252499,99254,"75855682",1,0,True
"75855681",99254,188679,"7585568",1,0,False
"75855673",188679,230077,"758556",1,0,False
"75855672",311575,230077,"75855672",1,0,True
"75855671",230077,188680,"758556",1,0,False
"7581667",366432,191441,"758166",1,0,False
"75855663",289441,289442,"7585566",1,0,True
"75855662",321714,289442,"75855662",1,0,True
"75855661",289442,188680,"7585566",1,0,False
"7585565",188680,188681,"758556",1,0,False
"7585564",277993,188681,"7585564",1,0,True
"7585563",188681,230069,"758556",1,0,False
"75855623",13961,321832,"7585562",1,0,True
"75855622",34477,321832,"75855622",1,0,True
"75855621",321832,230069,"7585562",1,0,False
"7585561",230069,277246,"758556",1,0,False
"758555",277246,161144,"758",1,0,False
"7585543",314457,181377,"758554",1,0,True
"7585542",199271,181377,"7585542",1,0,True
"7581666",233597,191441,"7581666",1,0,True
"7585541",181377,161144,"758554",1,0,False
"758553",161144,277190,"758",1,0,False
"7585525",217133,217134,"758552",1,0,True
"7585524",220147,217134,"7585524",1,0,True
"7585523",217134,64965,"758552",1,0,False
"7585522",323187,64965,"7585522",1,0,True
"7585521",64965,277190,"758552",1,0,False
"7585513",277190,54949,"758",1,0,False
"7585512",247851,54949,"7585512",1,0,True
"7585511",54949,277248,"758",1,0,False
"758549",114307,17173,"75854",1,0,True
"758548",323229,17173,"758548",1,0,True
"7585473",17173,271576,"75854",1,0,False
"7581665",191441,366447,"758166",1,0,False
"7585472",290290,271576,"7585472",1,0,True
"7585471",271576,271575,"75854",1,0,False
"7585465",228613,228614,"758546",1,0,True
"7585464",295788,228614,"7585464",1,0,True
"7585463",228614,18290,"758546",1,0,False
"7585462",259115,18290,"7585462",1,0,True
"7585461",18290,271575,"758546",1,0,False
"7585457",271575,271573,"75854",1,0,False
"7585456",316200,271573,"7585456",1,0,True
"7585455",271573,271577,"75854",1,0,False
"7585454",267172,271577,"7585454",1,0,True
"7585453",271577,200725,"75854",1,0,False
"7585452",306694,200725,"7585452",1,0,True
"7585451",200725,13591,"75854",1,0,False
"758544",203373,13591,"758544",1,0,True
"758543",13591,158715,"75854",1,0,False
"758542",325706,158715,"758542",1,0,True
"7585413",158715,271574,"75854",1,0,False
"7585412",136665,271574,"7585412",1,0,True
"7585411",271574,277248,"75854",1,0,False
"758539",277248,202324,"758",1,0,False
"758538",240344,202324,"758538",1,0,True
"7585377",202324,82175,"758",1,0,False
"7585376",254189,82175,"7585376",1,0,True
"7585375",82175,271611,"758",1,0,False
"7585374",254690,271611,"7585374",1,0,True
"7585373",271611,277218,"758",1,0,False
"7585372",295320,277218,"7585372",1,0,True
"7585371",277218,145850,"758",1,0,False
"7585363",228085,228084,"758536",1,0,True
"7585362",135758,228084,"7585362",1,0,True
"7585361",228084,145850,"758536",1,0,False
"758535",145850,219049,"758",1,0,False
"7581664",242159,366447,"7581664",1,0,True
"758534",256290,219049,"758534",1,0,True
"758533",219049,277223,"758",1,0,False
"758532",315477,277223,"758532",1,0,True
"758531",277223,277192,"758",1,0,False
"758529",235032,235033,"75852",1,0,True
"758528",271714,235033,"758528",1,0,True
"758527",235033,142249,"75852",1,0,False
"7585263",298378,298379,"758526",1,0,True
"7585262",229419,298379,"7585262",1,0,True
"7585261",298379,142249,"758526",1,0,False
"7585253",142249,235037,"75852",1,0,False
"7585252",221168,235037,"7585252",1,0,True
"7585251",235037,235035,"75852",1,0,False
"758524",166222,235035,"758524",1,0,True
"758523",235035,235036,"75852",1,0,False
"758522",205645,235036,"758522",1,0,True
"7581663",366447,366428,"758166",1,0,False
"7581662",316112,366428,"7581662",1,0,True
"7585213",235036,64919,"75852",1,0,False
"7585212",20921,64919,"7585212",1,0,True
"7585211",64919,277192,"75852",1,0,False
"758513",277192,277221,"758",1,0,False
"7585125",276518,9929,"758512",1,0,True
"7585124",273289,9929,"7585124",1,0,True
"7585123",9929,276519,"758512",1,0,False
"7585122",262608,276519,"7585122",1,0,True
"7585121",276519,277221,"758512",1,0,False
"758511",277221,277235,"758",1,0,False
"75849993",230801,190588,"7584",1,0,True
"75849992",352276,190588,"75849992",1,0,True
"75849991",190588,230792,"7584",1,0,False
"7584998",253540,230792,"7584998",1,0,True
"7584997",230792,230793,"7584",1,0,False
"75849965",255937,255939,"7584996",1,0,True
"75849964",62345,255939,"75849964",1,0,True
